3205,Santo vs. la hija de Frankenstein,https://image.tmdb.org/t/p/w500//40tbdC0hGJcOiQbMGroFL2LVxig.jpg,https://image.tmdb.org/t/p/original/,"Dr. Frankenstein and her assistant, Dr. Yanco, are going to bring one of their experiments to life in Santo Vs. Frankenstein's Daughter. She intends to use a monster named Ursus to do her evil bidding. Using a youth serum to retain their vitality, the doctors set their sights upon none other than El Santo. They need his super human blood to regenerate a stronger youth serum. They kidnap Santo's goddaughter, Norma and lure him into Dr. Frankenstein's lab where he is captured and enslaved. Will Santo make it out alive?",1971-01-02,97,tagline,7
3206,Frankenstein vs. the Creature from Blood Cove,https://image.tmdb.org/t/p/w500//1dmkSGQN8Y6Z3R9uAgHSLlhF3PZ.jpg,https://image.tmdb.org/t/p/original/,"Near an isolated beach on California's coast, a sinister plan is underway in a laboratory of horror. Three renegade scientists have resurrected the Frankenstein Monster. . . legendary indestructible dead man come to life. . . and they have also created a biogentically engineered half-man, half fish abomination. . . to use as secret weapons in the fight against terrorists worldwide. However, disaster strikes when the terrifying monsters chemical brainwashing fails and the entire plan goes to hell! Instead of stopping terror, these invincible monsters spread terror! The first victims. . . young people on a glamour photo shoot are attacked by the amphibious beast of evil! Rescued and held hostage by the scientists, the survivors must find a way to escape the madmen and the monsters!",2005-10-04,90,tagline,2
3208,I Was a Teenage Frankenstein,https://image.tmdb.org/t/p/w500//lY4XyaHfqHTKpIRxT8663Y7RweG.jpg,https://image.tmdb.org/t/p/original//brIyaTqzacmORJ2oq9t6xaW87bm.jpg,"Professor Frankenstein (Whit Bissell) creates a teenager from an accident victim, who gets angry when he learns he is going to be taken apart.",1957-11-23,74,Don't come before dinner!,5
3560,Un ombra nell'ombra,https://image.tmdb.org/t/p/w500//myKmjx4mxAD682HZH487tePhzqj.jpg,https://image.tmdb.org/t/p/original/,"Once a Satanist who surrendered her soul and body to the devil himself, Carlotta Rhodes begins to regret her tryst with Lucifer when her teenage daughter, Daria, starts showing the evil influence of dear old Dad. Convinced that she can stop the devil's power on earth, Carlotta calls upon an exorcist for help.",1979-10-29,106,tagline,5
3209,No Telling,https://image.tmdb.org/t/p/w500//xsC9C3xJ9LDVDub6abOz83DeJa8.jpg,https://image.tmdb.org/t/p/original//qyGGQRCoYV8NdK8kroZNRgS6B5n.jpg,"Geoffrey (Stephen Ramsey) and Lillian (Miriam Healy-Louie) are a couple spending the summer in the country in hopes of smoothing over some rough patches in their relationship. However, Geoffrey, who is a research scientist, has brought his work with him, which hardly helps, since Lillian's biggest problem with him is that he doesn't spend any time with her, and he seems more concerned with his career than his marriage. This is all the more galling for Lillian because she has given up her career as an artist in order to be more supportive of Geoffrey's work. Geoffrey is also upset because he's only been able to use mice for his lab experiments with new medications, and he is eager to begin working with larger animals; in his impatience, he begins trapping dogs, and he eventually catches the pet of a little girl named Frances (Ashley Arcemont).",1991-01-01,93,tagline,7
3210,The Projected Man,https://image.tmdb.org/t/p/w500//61thpIZL06dQig8uZZtPQuIEeNe.jpg,https://image.tmdb.org/t/p/original//k05eAsMK9XRp6rTH3wXKCW1fx1m.jpg,Matter-transmitter sabotage leaves a British scientist (Bryant Halliday) disfigured and full of amps.,1966-01-01,77,Horror of Horrors!,4
3214,Santo y Blue Demon contra el doctor Frankenstein,https://image.tmdb.org/t/p/w500//rQg2c3EIUsvJbbBCGOoyLRjsnAc.jpg,https://image.tmdb.org/t/p/original/,Innocent women are being kidnapped and used as guinea pigs for a brain transplant experiment. The diabolical Dr. Frankenstein continues his quest to perfect his brain transplant operation to bring back his deceased wife at any cost - even if it means playing with the lives of others. El Santo and Blue Demon are called in to help when their friend Alicia becomes Dr. Frankenstein's next target. It'll take both heroes to go up against the dastardly doctor and go mano a mano with his super strong zombie Golem.,1974-09-15,95,tagline,6
3216,Los monstruos del terror,https://image.tmdb.org/t/p/w500//9fSBgYeaU3isUeK4qLTIsqgWWOO.jpg,https://image.tmdb.org/t/p/original//es34goq8AXmMNnh4XX5jCGBFFgq.jpg,"Aliens from a dying world plot to conquer earth by praying on man's superstitions. Bringing two dead scientists (Michael Rennie and Karin Dor) back to life, they use their knowledge to re-animate various earth monsters, including the werewolf Waldemar Daninsky, Frankenstein's monster (both played by Jacinto Molina), the mummy Tao-Tet, and the vampire Count de Meirhoff.",1970-02-24,87,tagline,5
3290,Lust for Frankenstein,https://image.tmdb.org/t/p/w500//t72PheCQWCiJCS6M1kjoUOdY8Ln.jpg,https://image.tmdb.org/t/p/original/,"Moira Frankenstein, the grand-daughter of noted mad scientist Dr. Frankenstein, has become obsessed with the work of her ancestor and she decides to pick up the family business where he left off.",1998-01-01,82,tagline,1
3306,Frankenstein '80,https://image.tmdb.org/t/p/w500//3Q8XEYoWCGMuywyqS0WBOKbjIAS.jpg,https://image.tmdb.org/t/p/original//snFkXuS40vY3xccNmEnVk0ULDsG.jpg,"A mad scientist creates a monster called ""Mosaico,"" who breaks out of the laboratory to hunt down and kill beautiful women.",1972-12-12,85,tagline,4
