572,Naboer,https://image.tmdb.org/t/p/w500//xqS5Y8f6EQy9i9YFuPuTlPRopV4.jpg,https://image.tmdb.org/t/p/original//fsghkzQNhOPe3Pmy70iSnWzJWtR.jpg,"After Ingrid leaves John, he allows himself to be pulled into a mystical and scary world where it is impossible to separate truth from lies.",2005-03-11,75,Some doors should never be opened.,6,no,,,
573,Frenzy,https://image.tmdb.org/t/p/w500//4SFvqrlSigAt9tnhXFSMyKeJWQk.jpg,https://image.tmdb.org/t/p/original//5NWLgFDwDOsLXs5m0tTuyRm4SKa.jpg,"After a serial killer strangles several women with a necktie, London police identify a suspect—but he's the wrong man.",1972-04-14,116,Just an ordinary necktie used with a deadly new twist.,7,en,,,
578,Jaws,https://image.tmdb.org/t/p/w500//s2xcqSFfT6F7ZXHxowjxfG0yisT.jpg,https://image.tmdb.org/t/p/original//3nYlM34QhzdtAvWRV5bN4nLtnTc.jpg,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",1975-06-18,124,Don't go in the water,7,en,Animals,,
579,Jaws 2,https://image.tmdb.org/t/p/w500//cN3ijEwsn4kBaRuHfcJpAQJbeWe.jpg,https://image.tmdb.org/t/p/original//q46nyik6GeDkUV6wQGiZQ97UuP6.jpg,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,1978-06-16,116,Just when you thought it was safe to go back in the water...,5,en,Animals,,
580,Jaws: The Revenge,https://image.tmdb.org/t/p/w500//kGiaOztahZV2x7bil7sbk7fb6ob.jpg,https://image.tmdb.org/t/p/original//cJyQfwSEa5IjOdeNTuiWjciVbou.jpg,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.",1987-07-17,89,"This time, it’s personal.",4,en,Animals,,
588,Silent Hill,https://image.tmdb.org/t/p/w500//4NAVF9R5pUPOTdPQStom4VsjoTY.jpg,https://image.tmdb.org/t/p/original//29BCwmpV9HQUekAGlJLplkslRRf.jpg,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself.",2006-04-21,125,We've been expecting you.,6,en,,,
1975,The Grudge 2,https://image.tmdb.org/t/p/w500//gzr7ywaU9mUfASN57FYsKRFb4l0.jpg,https://image.tmdb.org/t/p/original//3HTK3FtjK5GXIvPswaIMBMHeL3E.jpg,"A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo, a mean high school prank goes horribly wrong, and strange things begin happening in a Chicago apartment building.",2006-10-13,102,"What Was Once Trapped, Will Now Be Unleashed",5,en,Ghosts,,
609,Poltergeist,https://image.tmdb.org/t/p/w500//xPazCcKp62IshnLVf9BLAjf9vgC.jpg,https://image.tmdb.org/t/p/original//bvkPno6U02lLyvPWCnmibq4eIaN.jpg,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",1982-06-04,114,They're here,7,en,,,
626,Un chien andalou,https://image.tmdb.org/t/p/w500//obvE7ElAvCUhKtWFwDSvNbPw9PV.jpg,https://image.tmdb.org/t/p/original//7Whw0upuev7c9hmOLXXM3ZqcVDQ.jpg,"Un Chien Andalou is an European avant-garde surrealist film, a collaboration between director Luis Buñuel and Salvador Dali.",1929-06-05,21,tagline,7,fr,,,
628,Interview with the Vampire,https://image.tmdb.org/t/p/w500//2162lAT2MP36MyJd2sttmj5du5T.jpg,https://image.tmdb.org/t/p/original//3fChciF2G1wXHsyTfJD9y7uN6Il.jpg,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",1994-11-11,123,Drink from me and live forever,7,en,Vampires,,
635,Angel Heart,https://image.tmdb.org/t/p/w500//h5v3wjJQNB7q2RntEnKDLhKtTFE.jpg,https://image.tmdb.org/t/p/original//obGPqu6au39YtemauKWI4ihWPrS.jpg,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",1987-03-06,113,Harry Angel has been hired in search for the truth. Pray he doesn't find it.,7,en,,,
653,"Nosferatu, eine Symphonie des Grauens",https://image.tmdb.org/t/p/w500//zx24O7VAs6NbJhiIrUhWysAiHS0.jpg,https://image.tmdb.org/t/p/original//52gih8jlehFbi208tdlVOkluDn2.jpg,Vampire Count Orlok is interested in a new residence and in his real estate agent’s young wife. F. W. Murnau’s unauthorized adaptation of Bram Stoker’s “Dracula.”,1922-02-17,94,A symphony of horror.,7,de,,,
663,Saw IV,https://image.tmdb.org/t/p/w500//wd6mhwDjlpeOufuMUF1FAeMliWZ.jpg,https://image.tmdb.org/t/p/original//kdrLxbTG0qCTbeAvzCUXBhPVONg.jpg,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.",2007-10-25,96,You think it is over...but the games have just begun,6,en,Serial Killers,Saw Series,
694,The Shining,https://image.tmdb.org/t/p/w500//mvgwG8ReKxwinHcKwdoRUgmUJqo.jpg,https://image.tmdb.org/t/p/original//AdKA2F1SzYPhSZdEbjH1Zh75UVQ.jpg,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",1980-05-23,144,"He came as the caretaker, but this hotel had its own guardians - who'd been there a long time",8,en,Psychological,Ghosts,
747,Shaun of the Dead,https://image.tmdb.org/t/p/w500//dgXPhzNJH8HFTBjXPB177yNx6RI.jpg,https://image.tmdb.org/t/p/original//mrdHbaCp3ysDrzUHle5eQlY9Vzu.jpg,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",2004-04-09,99,A romantic comedy. With zombies.,7,en,Zombies,,
755,From Dusk Till Dawn,https://image.tmdb.org/t/p/w500//kwhlLAlxIHLSbwOukBQkDJK7NGA.jpg,https://image.tmdb.org/t/p/original//xbeAyr3lUNrp34YdkupZoaQjntb.jpg,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1996-01-19,108,One night is all that stands between them and freedom. But it's going to be a hell of a night.,7,en,Vampires,,
763,Braindead,https://image.tmdb.org/t/p/w500//pa39D8TQs6aNw3hiUs4jLjHVUB0.jpg,https://image.tmdb.org/t/p/original//te7PK3CrO7SWeNaiGfswWqpM4eH.jpg,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.",1992-08-13,103,Some things won't stay down... even after they die.,7,en,,,
764,The Evil Dead,https://image.tmdb.org/t/p/w500//uYxQ6xhP3WjqPZtxyAOnZQWnZqn.jpg,https://image.tmdb.org/t/p/original//wDnVnnCiavROZ2YeVqSPwFw5jec.jpg,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",1981-09-10,85,The Ultimate Experience In Grueling Terror,7,en,,Evil Dead Series,
765,Evil Dead II,https://image.tmdb.org/t/p/w500//4zqCKJVHUolGs6C5AZwAZqLWixW.jpg,https://image.tmdb.org/t/p/original//ydtiv4viB9l6AMuZxeCPjImcA5E.jpg,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",1987-03-13,84,The Sequel To The Ultimate Experience In Grueling Terror.,7,en,,Evil Dead Series,
766,Army of Darkness,https://image.tmdb.org/t/p/w500//mOsWtjRGABrPrqqtm0U6WQp4GVw.jpg,https://image.tmdb.org/t/p/original//5Tfj9mbCq8KzJZ1cnPEWPhqecI7.jpg,"Ash is transported back to medieval days, where he is captured by the dreaded Lord Arthur. Aided by the deadly chainsaw that has become his only friend, Ash is sent on a perilous mission to recover the Book of the Dead, a powerful tome that gives its owner the power to summon an army of ghouls.",1992-10-31,81,Trapped in time. Surrounded by evil. Low on gas.,7,en,,Evil Dead Series,
