9009,Dark Water,https://image.tmdb.org/t/p/w500//yQBdzYphzbxYYW7xBa0v11PYYMJ.jpg,https://image.tmdb.org/t/p/original//XKZjyePvRYPn7JdfRGZO3Q87qu.jpg,"Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. She is currently in midst of divorce proceedings and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences and there is a constant drip from the ceiling in her daughter's bedroom.",2005-07-08,105,"This Season, The Mystery Of The Darkness Will Consume Your Life",5.5,en,No Category
9011,The Prophecy 3: The Ascent,https://image.tmdb.org/t/p/w500//rEqrwFt5xTsJozD2avYeprzYXVf.jpg,https://image.tmdb.org/t/p/original//vg5m7TAoIYzPPz2cWyjIseArgQw.jpg,"The conclusion to The Prophecy Trilogy. Once again, Christopher Walken returns as the Arch-Angel Gabriel. As the War in Heaven and on Earth rages on, Pyriel, the Angel of Genocide, rises to power, intending to destroy all of mankind. The only one who stands in his way is Danyael, who was born of an Angel and a woman.",2000-03-14,103,tagline,6.1,en,No Category
9017,Outpost,https://image.tmdb.org/t/p/w500//rwWEsWV1DNCqZudEiHvk1NPeUla.jpg,https://image.tmdb.org/t/p/original//6w2DrnlJu2oDbm4hY1PH4KADhe7.jpg,"In a seedy bar in a town ravaged by war, scientist and businessman Hunt hires mercenary and former Royal Marine D.C. to assemble a crack team of ex-soldiers to protect him on a dangerous journey into no-man's land. Their mission is to scope out an old military bunker in Eastern Europe. It should be easy – 48 hours at the most. Lots of cash for little risk. Or so he says...",2008-03-11,90,You can't kill what's already dead!,6.0,en,No Category
9022,All the Boys Love Mandy Lane,https://image.tmdb.org/t/p/w500//8XFpaS8AULOYepxcH1VKwbyIPGL.jpg,https://image.tmdb.org/t/p/original//7LpFPbE1AdzGQnO5Ib7fpSRMsvd.jpg,"Beautiful Mandy Lane isn't a party girl but, when classmate Chloe invites the Texas high school student to a bash in the countryside, she reluctantly accepts. After hitching a ride with a vaguely scary older man, the teens arrive at their destination. Partying ensues, and Mandy's close pal, Emmet, keeps a watchful eye on the young males making a play for Mandy. Then two of the students are murdered.",2006-09-09,90,Everyone is dying to be with her. Someone is killing for it.,5.5,en,No Category
9030,The Eye,https://image.tmdb.org/t/p/w500//h6LTSlrPv6aNEpScvITroHvW8vy.jpg,https://image.tmdb.org/t/p/original//gnmK5vZUm7rN4sU03dp0z283DRq.jpg,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",2008-02-01,98,How can you believe your eyes when they're not yours?,5.7,en,No Category
9033,The Prophecy II,https://image.tmdb.org/t/p/w500//paHyRgF3uBMvK3i4YRjJ9wwFxbH.jpg,https://image.tmdb.org/t/p/original//8WyE2hdivFFrAEMJ9rlIx8w3Orx.jpg,"Gabriel returns to try to destroy the human race he despises so much, with the help of a suicidal teen and the opposition of the angel Daniel.",1998-01-20,87,An evil force has declared war...,6.3,en,No Category
9035,Slither,https://image.tmdb.org/t/p/w500//zNlJvCY3Pz7SE09Lf4G7uPs5XFZ.jpg,https://image.tmdb.org/t/p/original//1Wfi0yIFcxplGUX5pYyvwVhZTtJ.jpg,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",2006-03-31,95,Horror has a new face.,6.5,en,No Category
9042,The Cave,https://image.tmdb.org/t/p/w500//gMfJo22XulGLA8h8yAjiLhdQusv.jpg,https://image.tmdb.org/t/p/original//2cnP0Ry4MY1X3cf09LnfHuuEaoL.jpg,"After a group of biologists discovers a huge network of unexplored caves in Romania and, believing it to be an undisturbed eco-system that has produced a new species, they hire the best American team of underwater cave explorers in the world. While exploring deeper into the underwater caves, a rockslide blocks their exit, and they soon discover a larger carnivorous creature has added them to its food chain.",2005-08-26,97,There are places man was never meant to go,5.3,en,No Category
9059,Tales from the Crypt: Demon Knight,https://image.tmdb.org/t/p/w500//1A8q77No6KLdTqva25lNLYjtrBx.jpg,https://image.tmdb.org/t/p/original//6qciYslUAXbeAQ0igoAWExAhZgE.jpg,A man on the run is hunted by a demon known as the Collector.,1995-01-13,92,Ready for your deadtime story?,6.8,en,No Category
9060,餃子,https://image.tmdb.org/t/p/w500//5wXSsJ3G5UBYBfHYC6MnCVEaiDj.jpg,https://image.tmdb.org/t/p/original//hvturB2M3xwTAEfzSX1kxan2406.jpg,"A rich woman, Mrs. Li, is losing her attractiveness and longs for passion with her husband, who is having an affair with his younger and more attractive masseuse. In order to boost her image, she seeks out the help of Aunt Mei, a local chef. Mei cooks her some special dumplings which she claims to be effective for rejuvenation, but these dumplings hide a terrible secret.",2005-08-04,91,tagline,6.5,cn,No Category
